,Day of Week,Average_Group_DOW_Factor,criteria
0,Monday,0.1577558902409558,WWI<=0.40
1,Tuesday,0.17240786283489742,WWI<=0.40
2,Wednesday,0.16899273069968154,WWI<=0.40
3,Thursday,0.16193795946296902,WWI<=0.40
4,Friday,0.1456876653327209,WWI<=0.40
5,Saturday,0.1005857266087285,WWI<=0.40
6,Sunday,0.09263216482004658,WWI<=0.40
0,Monday,0.12391512746265966,WWI>0.40
1,Tuesday,0.1305975681851721,WWI>0.40
2,Wednesday,0.12972663565240133,WWI>0.40
3,Thursday,0.12662428453123248,WWI>0.40
4,Friday,0.12813061050517696,WWI>0.40
5,Saturday,0.18745679530787807,WWI>0.40
6,Sunday,0.17354897835547914,WWI>0.40
