,month,Average_Group_MOY_Factor,Criteria
0,1,0.0677192085242286,seasonal_factor<=2.4
1,2,0.07111213461645796,seasonal_factor<=2.4
2,3,0.08014793467386047,seasonal_factor<=2.4
3,4,0.08742519933509454,seasonal_factor<=2.4
4,5,0.09105317091190904,seasonal_factor<=2.4
5,6,0.09221750631239455,seasonal_factor<=2.4
6,7,0.0973105404893881,seasonal_factor<=2.4
7,8,0.09772182607694674,seasonal_factor<=2.4
8,9,0.09387381645459951,seasonal_factor<=2.4
9,10,0.09129134255167876,seasonal_factor<=2.4
10,11,0.07512853569170244,seasonal_factor<=2.4
11,12,0.06377504769716821,seasonal_factor<=2.4
0,1,0.04550989537962524,2.4<seasonal_factor<=5
1,2,0.048823174262127775,2.4<seasonal_factor<=5
2,3,0.06915652802434533,2.4<seasonal_factor<=5
3,4,0.09033178710152047,2.4<seasonal_factor<=5
4,5,0.10209542037475847,2.4<seasonal_factor<=5
5,6,0.11882645773633911,2.4<seasonal_factor<=5
6,7,0.11677249410748458,2.4<seasonal_factor<=5
7,8,0.11334916737299375,2.4<seasonal_factor<=5
8,9,0.10128343368527047,2.4<seasonal_factor<=5
9,10,0.08697279132873664,2.4<seasonal_factor<=5
10,11,0.06085580226548379,2.4<seasonal_factor<=5
11,12,0.051711785283767,2.4<seasonal_factor<=5
0,1,0.02144893648430153,seasonal_factor>5
1,2,0.018643813976888367,seasonal_factor>5
2,3,0.010739682484530966,seasonal_factor>5
3,4,0.05692208945906113,seasonal_factor>5
4,5,0.09856595374019565,seasonal_factor>5
5,6,0.1854773274429907,seasonal_factor>5
6,7,0.2435456657891043,seasonal_factor>5
7,8,0.18966747958754956,seasonal_factor>5
8,9,0.136854720403504,seasonal_factor>5
9,10,0.07121284495862046,seasonal_factor>5
10,11,0.0409661147647326,seasonal_factor>5
11,12,0.007137259504888399,seasonal_factor>5
